phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,1447,24.649593958000004,0,73500,41,16997250,475029
0,1448,24.665923375000006,0,71750,83,16377875,432389
0,1449,24.682702708000008,0,75875,167,16707750,432389
0,1450,24.699626291000008,0,76458,83,16893750,459913
0,1451,24.716049041000005,0,96167,83,16493708,446403
0,1452,24.732605416000006,0,72292,167,16481500,446151
0,1453,24.749478916000008,0,76500,84,16901459,459913
0,1454,24.765900375000008,0,77041,83,16476750,432389
0,1455,24.782719833000009,0,77375,125,16800625,459913
0,1456,24.799495583000002,0,71750,125,16692750,447505
0,1457,24.816055500000004,0,73041,84,16605125,460113
0,1458,24.832628916000004,0,76458,42,16604583,446151
0,1459,24.849439875000009,0,71500,42,16791709,446151
0,1460,24.865919625000004,0,86458,83,16488166,432389
0,1461,24.882833625000004,0,77375,166,16896667,459913
0,1462,24.899161666000005,0,73958,42,16301500,446151
0,1463,24.915905208000005,0,70792,83,16777166,446403
0,1464,24.932862416000006,0,70791,41,16907459,446151
0,1465,24.949213041000007,0,75250,42,16389167,433743
0,1466,24.966044125000003,0,73709,0,16797708,459913
0,1467,24.982738416000004,0,78500,42,16695958,459913
0,1468,24.999385958000005,0,78833,83,16596167,446151
0,1469,25.015935708000008,0,74334,83,16577958,460113
0,1470,25.032656791000008,0,75292,42,16787709,473675
0,1471,25.049524000000005,0,72083,0,16609375,446151
0,1472,25.065878708000007,0,91375,42,16582750,432389
0,1473,25.082920125000008,0,74042,42,17014959,473675
0,1474,25.099395500000007,0,72875,42,16390875,447505
0,1475,25.116067416000007,0,74959,83,16585666,446403
0,1476,25.132793750000005,0,83458,83,16797125,459913
0,1477,25.149260208000008,0,79417,42,16505459,432389
0,1478,25.165835916000006,0,78583,209,16582500,446151
0,1479,25.182918291000007,0,77417,84,17109291,459913
0,1480,25.199297958000002,0,72916,83,16291208,446151
0,1481,25.215906666000002,0,76083,84,16672875,446351
0,1482,25.232590625000007,0,71708,42,16718625,446151
0,1483,25.249357416000002,0,71291,84,16770500,475029
0,1484,25.265891583000005,0,67458,41,16505375,432389
0,1485,25.282738791000007,0,71083,84,16812000,459913
0,1486,25.299459750000004,0,73167,83,16683042,473675
0,1487,25.316157125000004,0,71083,83,16685334,460165
0,1488,25.332526541000007,0,72250,84,16406916,432389
0,1489,25.349149125000004,0,71417,167,16596750,446151
0,1490,25.366236958,0,73167,83,17093541,459913
0,1491,25.382906250000005,0,78208,83,16596708,446151
0,1492,25.399383583000002,0,76375,83,16488500,421637
0,1493,25.415873166000004,0,76792,42,16490292,446351
0,1494,25.432614125000008,0,81667,41,16682000,432389
0,1495,25.449473333000007,0,80542,84,16910958,446151
0,1496,25.465830583000006,0,77458,42,16394708,432389
0,1497,25.482974250000005,0,73834,0,16981417,446151
0,1498,25.499654875000004,0,87625,41,16708834,418627
0,1499,25.516355708000006,0,83000,208,16600375,432641
0,1500,25.532840083000004,0,99791,41,16583625,418627
0,1501,25.549199333000004,0,82542,42,16399666,419981
0,1502,25.566042750000008,0,84917,83,16875750,459913
0,1503,25.582654500000004,0,70542,0,16610875,446151
0,1504,25.599445375000002,0,75375,42,16795125,446151
0,1505,25.616063833000005,0,72041,84,16478250,446351
0,1506,25.632683208000003,0,100500,42,16710083,446151
0,1507,25.649706541000008,0,78125,42,16995625,473675
0,1508,25.666050583000008,0,78042,83,16393209,432389
0,1509,25.682548583000006,0,72041,42,16492000,446151
0,1510,25.699542500000007,0,75459,42,16892000,447505
0,1511,25.715868416000006,0,80792,42,16395583,446403
0,1512,25.732621916000006,0,76250,83,16795625,459913
0,1513,25.749518625000007,0,75125,41,16707792,446151
0,1514,25.765949875000004,0,91083,42,16487667,432389
0,1515,25.782727958000002,0,80125,83,16874333,459913
0,1516,25.799413416000007,0,84625,42,16598791,473675
0,1517,25.816231375000008,0,78250,84,16902625,473875
1,1519,25.870350666000007,0,0,0,0,0
1,1520,25.871840250000005,4001708,17794125,84,22100459,153847
1,1521,25.888100291000008,0,60708,41,16345333,404419
1,1522,25.904881541,0,67917,42,16485041,445905
1,1523,25.921421083000006,0,78958,0,16806791,459519
1,1524,25.938297416000005,0,73750,83,16930875,445705
1,1525,25.955072833000003,0,72750,41,16788000,445705
1,1526,25.971617250000008,0,73042,125,16429500,445705
1,1527,25.988038000000003,0,78958,42,16452167,418181
1,1528,26.005122500000006,0,82375,83,17129083,461021
1,1529,26.021708833000005,0,74917,42,16561375,473229
1,1530,26.038404125000007,0,70542,167,16722625,445705
1,1531,26.054834708000008,0,75542,41,16375166,431943
1,1532,26.071577916000003,0,77584,0,16769500,431943
1,1533,26.088358083000003,0,75667,42,16667375,445705
1,1534,26.121862500000006,0,78000,84,16418959,432143
1,1535,26.123233166000006,3684750,17047083,83,18495875,148913
1,1536,26.140038583000006,0,51583,84,16932250,445757
1,1537,26.156558166000003,0,71708,42,16493917,433297
1,1538,26.173312666000008,0,69958,41,16778125,459467
1,1539,26.190290125000004,0,66750,42,16914416,500753
1,1540,26.206549916000007,0,74417,41,16292834,445905
1,1541,26.223523500000006,0,76792,42,16994625,445705
1,1542,26.240199291000003,0,71542,42,16594875,459467
1,1543,26.256618958000004,0,70208,42,16473041,473229
1,1544,26.273373333000002,0,76750,42,16711875,445705
1,1545,26.290173583000005,0,74333,0,16804000,431943
1,1546,26.306573833000009,0,71541,84,16394000,447259
1,1547,26.323330500000004,0,75916,0,16697000,445705
1,1548,26.339944333000005,0,75250,41,16584375,431995
1,1549,26.374578041000007,0,78541,42,17000667,445745
1,1550,26.376032375000008,3825584,17511833,42,18987792,148913
1,1551,26.392365958000006,0,54417,84,16492417,431943
1,1552,26.409149208000002,0,70500,83,16788833,473429
1,1553,26.425541000000003,0,71042,84,16395209,445705
1,1554,26.442183208000003,0,68459,42,16606542,459467
1,1555,26.458852708000002,0,68625,166,16690875,447059
1,1556,26.475914041000003,0,68666,125,16993750,473229
1,1557,26.492620333000005,0,74125,41,16702417,445705
1,1558,26.509244333000005,0,76875,83,16575584,459667
1,1559,26.525572458000006,0,78958,83,16388208,445757
1,1560,26.542181791000004,0,76125,84,16590083,445705
1,1561,26.558927541000003,0,73583,42,16706208,445705
1,1562,26.575678541000002,0,75292,83,16795916,431943
1,1563,26.592575250000003,0,74583,125,16790125,431943
1,1564,26.626566791000002,0,82042,41,16595709,433497
1,1565,26.627934333000006,3844417,17310042,42,18774333,148913
1,1566,26.644211166000005,0,49208,42,16416459,445705
1,1567,26.661611375000007,0,73958,42,17087500,473229
1,1568,26.677542083000006,0,91167,42,16194917,431943
1,1569,26.694619625000009,0,73584,42,16987958,473229
1,1570,26.711099291000004,0,69959,41,16580333,445905
1,1571,26.727984625000005,0,74292,42,16817667,473281
1,1572,26.744630500000007,0,72875,84,16701792,445705
1,1573,26.760915333000007,0,73916,42,16188792,433297
1,1574,26.777691166000004,0,75166,83,16779917,431943
1,1575,26.794515375000003,0,79000,0,16594167,445705
1,1576,26.811237041000005,0,90791,42,16897292,432143
1,1577,26.827915875000002,0,78750,84,16697584,473229
1,1578,26.844491416000004,0,76291,83,16595459,431943
1,1579,26.878873708000008,0,72375,0,16690167,431943
1,1580,26.880580750000007,3638750,17371209,42,19024875,148913
1,1581,26.896821375000002,0,73667,0,16545125,418181
1,1582,26.913641416000004,0,134458,0,16796250,433497
1,1583,26.930358791000003,0,76000,250,16810167,445757
1,1584,26.947037708000003,0,72208,83,16591292,459467
1,1585,26.963601958000005,0,75292,41,16602500,445705
1,1586,26.980224291000006,0,72833,42,16583792,459467
1,1587,26.996802333000005,0,75000,42,16480958,445705
1,1588,27.013613208000002,0,128334,41,16900333,445905
1,1589,27.030421375000003,0,73334,41,16588125,445705
1,1590,27.047100291000007,0,99334,0,16911917,445705
1,1591,27.063629333000009,0,73417,83,16587291,447059
1,1592,27.080069791000007,0,71167,0,16384875,445705
1,1593,27.096787458000009,0,73375,41,16694042,473229
1,1594,27.131094166000004,0,70792,0,16805125,459667
1,1595,27.132399916000004,3822250,17353250,42,18774250,148913
1,1596,27.148865750000006,0,50333,83,16500584,418233
1,1597,27.165753416000008,0,70917,125,16904458,445705
1,1598,27.182461125000003,0,70833,42,16700083,445705
1,1599,27.199512875000003,0,72833,42,16782208,522601
1,1600,27.215391750000002,0,59917,42,16287500,528823
1,1601,27.232128416000002,0,58708,0,16639833,555801
1,1602,27.248820375000008,0,65709,0,16661333,459467
1,1603,27.265868708000006,0,68583,41,17000833,473229
1,1604,27.282238666000005,0,70458,42,16396334,473229
1,1605,27.298966500000006,0,76833,41,16673000,486991
1,1606,27.315740416000004,0,67667,42,16813541,459667
1,1607,27.332169166000007,0,72750,83,16396750,445705
1,1608,27.349155916000008,0,68291,84,16592459,431995
1,1609,27.382802791000003,0,65875,42,16695542,447059
1,1610,27.384049875000002,3776959,17224125,41,18569500,148913
1,1611,27.401025958000005,0,49917,83,16917750,486991
1,1612,27.417655916000008,0,69834,41,16689875,459667
1,1613,27.434223375000002,0,71541,42,16483334,459467
1,1614,27.450852875000002,0,74875,83,16710667,445705
1,1615,27.467519250000002,0,76667,0,16578625,445705
1,1616,27.484100625000004,0,73708,41,16702042,445705
1,1617,27.500950083000006,0,67375,41,16693583,460821
1,1618,27.517623750000006,0,67542,208,16686333,445905
1,1619,27.534037916000003,0,87125,166,16500959,431995
1,1620,27.550851500000007,0,76708,84,16794708,445705
1,1621,27.567792666000003,0,68042,83,16893292,459467
1,1622,27.584261750000003,0,75916,83,16496625,431943
1,1623,27.618985333000005,0,75041,84,16698625,445705
1,1624,27.620277750000007,4055208,17850333,41,19294500,149113
1,1625,27.637018208000008,0,50541,83,16790833,459467
1,1626,27.653377875000004,0,67708,125,16294125,447059
1,1627,27.670363333000005,0,73667,0,16987875,445705
1,1628,27.686768208000004,0,74000,0,16389916,445705
1,1629,27.703548500000004,0,71542,0,16786042,445905
1,1630,27.720099750000003,0,75542,41,16507875,445705
1,1631,27.736856916000008,0,75541,41,16808500,445757
1,1632,27.753450875000006,0,71334,0,16585792,459467
1,1633,27.770269583000008,0,71750,292,16784958,445705
1,1634,27.786980875000005,0,72000,166,16703875,445705
1,1635,27.803416208000009,0,70416,167,16483875,447259
1,1636,27.820451958000007,0,72291,42,16893167,445705
1,1637,27.836942000000008,0,90625,0,16595542,428739
1,1638,27.871062166000009,0,71083,83,16694375,445705
1,1639,27.872366541000005,3812125,17207417,42,18639334,148913
1,1640,27.888829250000008,0,50833,84,16540833,459467
1,1641,27.905585625000008,0,64167,41,16799042,459667
1,1642,27.922024500000006,0,64667,42,16390417,445705
1,1643,27.938849125000004,0,69750,291,16792875,459519
1,1644,27.955361500000002,0,70708,42,16513708,447059
1,1645,27.972238916000002,0,68500,83,16885791,445705
1,1646,27.988795041000003,0,68875,84,16487625,349371
1,1647,28.005724666000006,0,67875,0,16999959,459667
1,1648,28.022130208000007,0,70083,41,16399875,459467
1,1649,28.038899291000007,0,70458,84,16710292,445705
1,1650,28.055365375000008,0,74667,41,16478000,445705
1,1651,28.072030833000007,0,74750,42,16683041,445705
1,1652,28.089075083000004,0,73958,83,16987625,459467
1,1653,28.123313000000003,0,70583,42,16386250,433497
1,1654,28.124639833000003,4024167,17662459,209,19119333,148913
1,1655,28.141142625000008,0,57167,42,16591333,445757
1,1656,28.157788625000002,0,69375,84,16591000,459467
1,1657,28.174517625000007,0,72916,84,16700250,459467
1,1658,28.191428541000008,0,73833,41,16894834,459467
1,1659,28.208161666000002,0,73292,41,16774500,487191
1,1660,28.224764833000009,0,70750,42,16494792,459467
1,1661,28.241331500000008,0,78416,41,16604584,459467
1,1662,28.257731333000002,0,69250,42,16471875,433297
1,1663,28.274732208000003,0,70792,83,16906125,473229
1,1664,28.291427583000008,0,73416,42,16702958,431943
1,1665,28.307978250000005,0,82417,41,16594541,432143
1,1666,28.325057083000004,0,71875,42,16997708,459467
1,1667,28.341589541000005,0,83666,41,16495125,445757
1,1668,28.376195416000009,0,86000,250,16585417,445705
1,1669,28.377574791000008,4303000,17948542,167,19415125,148913
1,1670,28.394215166000002,0,54834,83,16674958,418181
1,1671,28.410653916000008,0,75208,42,16475875,447259
1,1672,28.427389875000003,0,77958,83,16793792,500753
1,1673,28.444006500000008,0,71333,42,16419750,445705
1,1674,28.460687791000005,0,94709,83,16783500,431943
1,1675,28.477607833000008,0,74417,83,16896333,445705
1,1676,28.494253833000002,0,78417,41,16591750,431943
1,1677,28.510491958000003,0,77083,41,16287875,432143
1,1678,28.527122375000005,0,72084,209,16702417,459467
1,1679,28.543805041000006,0,70917,42,16699041,445757
1,1680,28.560424708000006,0,69417,41,16592000,447059
1,1681,28.577153166000002,0,77000,83,16690750,445705
1,1682,28.593997916000006,0,75375,167,16795416,500753
1,1683,28.627992333000009,0,77584,167,16593083,445905
1,1684,28.629243291000009,3809959,17284333,42,18662583,148913
1,1685,28.646226708000007,0,50291,167,16727917,473229
1,1686,28.662443125000003,0,71208,42,16495834,459467
1,1687,28.678940166000004,0,74666,84,16497958,431943
1,1688,28.696844250000005,0,69583,83,16982291,459467
1,1689,28.713078833000004,0,96208,42,16787708,419735
1,1690,28.729397708000008,0,77625,84,16512208,418181
1,1691,28.746349958000003,0,69584,125,17056000,445757
1,1692,28.762989250000004,0,71917,42,16649875,459467
1,1693,28.779130125000009,0,74833,42,16166625,404419
1,1694,28.796384375000002,0,69292,125,17069792,473229
1,1695,28.812455791000005,0,72541,125,16217625,459667
1,1696,28.829332583000003,0,71500,41,16778375,459467
1,1697,28.846210083000003,0,70166,83,16861500,431943
1,1698,28.879615541000007,0,72041,166,16446625,460821
1,1699,28.880956958000006,3721584,16904292,42,18305000,148913
1,1700,28.897544708000005,0,50291,42,16661500,418181
1,1701,28.914121833000003,0,70084,42,16615417,445905
1,1702,28.931058250000007,0,74417,42,16890666,445705
1,1703,28.947776583000007,0,75167,41,16685041,418233
1,1704,28.964594708000007,0,73042,42,16809792,445705
1,1705,28.981243500000005,0,76625,42,16696959,445705
1,1706,28.997746416000005,0,72000,41,16466750,445705
1,1707,29.014468916000006,0,69167,42,16612208,433497
1,1708,29.030815500000003,0,78917,0,16484917,431943
1,1709,29.047548250000006,0,68125,83,16709542,459467
1,1710,29.064118541000006,0,70250,41,16583667,445705
1,1711,29.081156708000009,0,68500,83,16989459,445705
1,1712,29.097589375000005,0,72542,41,16406583,431943
1,1713,29.132464416000005,0,71709,41,16777083,445905
1,1714,29.133924708000002,4214208,17838584,42,19392791,148913
1,1715,29.150729666000004,0,53458,84,16912833,445757
1,1716,29.167117083000008,0,84709,0,16385917,419535
1,1717,29.183601708000005,0,76208,42,16511292,445705
1,1718,29.200301416000002,0,73916,42,16686541,445705
1,1719,29.217173541000008,0,71375,125,16894958,459667
1,1720,29.233921291000009,0,75500,209,16696875,459467
1,1721,29.250541916000003,0,80625,41,16666500,445705
1,1722,29.266895000000005,0,77042,42,16309708,445705
1,1723,29.283741083000002,0,77041,84,16896958,459467
1,1724,29.300341125000003,0,71958,83,16500750,431943
1,1725,29.317110416000006,0,70834,83,16781125,447259
1,1726,29.334033708000007,0,79292,83,16899833,473229
1,1727,29.367248583000006,0,79875,0,16295875,445797
1,1728,29.368292916000009,3616125,16943833,83,18146959,148913
1,1729,29.385401000000009,0,42792,0,17025292,555801
1,1730,29.401900125000004,0,67875,41,16504708,514715
1,1731,29.418621333000004,0,70833,84,16699792,486991
1,1732,29.435417333000004,0,71500,41,16797333,473229
1,1733,29.451998458000006,0,69459,84,16568708,486918
1,1734,29.468563250000003,0,72917,41,16524709,460821
1,1735,29.485101333000003,0,78583,83,16485000,459467
1,1736,29.501854500000007,0,84750,0,16696792,445705
1,1737,29.518331083000007,0,73000,333,16581166,473429
1,1738,29.535408625000002,0,69042,42,17106416,473229
1,1739,29.551885333000008,0,75167,41,16383291,445757
1,1740,29.568464375000005,0,79042,166,16596417,431943
1,1741,29.585166250000007,0,79583,166,16696458,445705
1,1742,29.619335458000009,0,73666,42,16999042,473229
1,1743,29.621196375000004,3831916,16876250,41,18428459,149113
1,1744,29.636975708000008,0,53958,83,16251709,419535
1,1745,29.653549500000004,0,78875,42,16697042,431943
1,1746,29.670251458000003,0,66959,41,16682791,473229
1,1747,29.686881541000005,0,74083,208,16609875,445705
1,1748,29.703902916000004,0,66458,125,16996041,459667
1,1749,29.720555625000003,0,74417,83,16684208,459467
1,1750,29.736895833000005,0,74083,166,16399917,431995
1,1751,29.753813958000002,0,75375,42,16593416,445705
1,1752,29.770232333000003,0,73250,83,16587292,431943
1,1753,29.786955708000008,0,72500,42,16807709,433297
1,1754,29.803738458000005,0,69042,42,16685292,445905
1,1755,29.820141541000005,0,84292,42,16508541,445705
1,1756,29.837294500000009,0,72125,42,17084166,459467
1,1757,29.871905250000008,0,78750,42,16687458,142941
1,1758,29.873260250000012,3854875,17696875,42,19204667,148913
1,1759,29.8903985,0,58375,125,16995042,142941
1,1760,29.910161458,0,152542,84,19571709,46807
1,1761,29.923212708000005,0,83500,0,12899875,288647
1,1762,29.939738083000005,0,82000,42,17108792,432341
1,1763,29.955997000000007,0,70458,84,16275250,459467
1,1764,29.972967708000009,0,68917,83,16901750,459467
1,1765,29.989809416000011,0,76792,83,16807750,431943
1,1766,30.006091041,0,69709,42,16378792,445905
1,1767,30.023043458,0,64959,83,16910333,473229
1,1768,30.039746875000002,0,72375,0,16694083,445705
1,1769,30.056430916000007,0,69708,41,16679875,445705
1,1770,30.073021666,0,68959,83,16205833,440029
1,1771,30.08944583300001,0,71834,42,16775667,459813
1,1772,30.123073041000008,0,71334,42,16716416,459667
1,1773,30.124326500000006,3615625,16752667,42,18134625,148913
1,1774,30.140971458000006,0,55292,42,16661208,459519
1,1775,30.157535916000011,0,85584,125,16587333,459467
1,1776,30.174178208000011,0,66750,125,16683459,459467
1,1777,30.19126279100001,0,66084,42,17008333,486991
1,1778,30.207548625000012,0,71791,41,16290875,432143
1,1779,30.224668208000008,0,71167,42,17103750,460821
1,1780,30.241062166000003,0,70583,83,16390792,473229
1,1781,30.257649708,0,80333,0,16592875,459467
1,1782,30.274239416000011,0,74834,42,16667584,459467
1,1783,30.291258250000009,0,69667,125,16925583,473229
1,1784,30.30802266600001,0,67292,41,16694416,459667
1,1785,30.324163833000011,0,77083,208,16190166,418181
